login_time,typing_speed,backspace_count,mouse_movement_speed,cursor_path_length,ip_address_risk,geo_location_change,device_type,browser_type,failed_attempts_last_10min,login_hour,session_request_rate,password_paste,vpn_detected,tor_detected,keystroke_variance,is_attacker,attack,label
5.57,4.36,2,378.12,730.12,0,0,Mobile,Chrome,0,9,1.76,0,0,0,0.373,0,none,0
4.06,1.12,3,209.87,202.57,0,0,Desktop,Edge,0,8,2.01,1,0,0,0.365,0,none,0
5.55,2.96,1,237.29,548.46,0,0,Mobile,Safari,2,10,2.26,0,1,0,0.424,0,none,0
4.63,3.03,3,395.5,419.91,1,0,Desktop,Safari,2,4,2.58,0,0,0,0.75,1,bot_attack,1
4.98,2.84,2,223.88,384.52,0,0,Mobile,Safari,0,6,2.87,1,0,0,0.452,0,none,0
2.0,3.56,3,258.78,65.22,1,0,Mobile,Safari,2,14,4.15,0,0,0,0.589,1,bot_attack,1
0.95,5.77,1,280.68,158.33,0,0,Mobile,Edge,3,11,1.8,1,1,0,0.58,0,none,0
4.43,2.56,2,413.66,752.96,0,0,Desktop,Firefox,1,10,2.71,1,0,0,0.402,0,none,0
4.77,2.9,4,258.55,453.84,1,0,Desktop,Safari,2,10,2.55,0,0,0,0.355,1,bot_attack,1
2.96,4.78,2,311.07,367.01,0,0,Desktop,Firefox,3,12,2.21,1,1,0,0.519,1,bot_attack,1
2.33,1.64,3,264.54,460.38,1,0,Mobile,Chrome,1,6,1.97,0,0,0,0.486,1,bot_attack,1
4.3,3.97,1,105.8,585.82,0,0,Mobile,Chrome,0,20,2.27,0,0,0,0.396,0,none,0
6.09,4.53,1,211.8,357.57,0,0,Desktop,Chrome,1,13,1.43,0,0,0,0.463,0,none,0
5.59,3.24,1,255.61,317.43,0,0,Mobile,Chrome,3,9,3.14,1,0,0,0.279,0,none,0
5.03,3.68,0,222.46,758.69,0,1,Desktop,Firefox,1,20,1.32,0,0,0,0.369,0,none,0
5.24,4.47,3,216.12,571.14,0,0,Mobile,Firefox,2,12,2.28,0,0,0,0.468,0,none,0
4.58,4.15,0,230.85,790.77,0,0,Mobile,Chrome,0,23,3.52,0,0,0,0.455,0,none,0
5.65,1.63,1,190.73,320.77,0,0,Mobile,Firefox,0,23,1.69,0,0,1,0.11,0,none,0
4.29,1.27,2,317.2,643.19,0,0,Mobile,Chrome,3,15,2.6,0,0,0,0.361,0,none,0
4.27,2.94,0,318.6,587.29,0,0,Mobile,Safari,1,18,3.38,0,1,0,0.293,0,none,0
6.12,2.97,4,238.85,562.64,0,0,Mobile,Safari,1,0,2.11,0,0,0,0.511,0,none,0
5.07,2.41,4,194.67,555.11,1,0,Mobile,Chrome,3,3,4.83,0,0,0,0.541,0,none,0
1.37,3.69,3,271.0,394.09,0,0,Desktop,Chrome,1,2,1.93,0,0,0,0.453,0,none,0
2.79,5.32,2,227.32,877.93,0,1,Desktop,Chrome,1,17,1.66,0,0,0,0.377,0,none,0
2.54,2.25,4,108.67,681.73,0,0,Mobile,Safari,1,2,0.38,0,1,0,0.533,0,none,0
2.73,3.36,2,232.66,338.11,1,1,Desktop,Chrome,1,8,2.02,0,1,0,0.391,1,bot_attack,1
1.69,4.15,3,405.32,590.89,1,0,Mobile,Edge,1,8,1.81,0,0,0,0.646,1,bot_attack,1
5.11,2.92,1,211.26,409.45,0,0,Desktop,Edge,0,0,1.97,1,0,0,0.548,0,none,0
5.89,4.08,3,308.08,149.9,0,0,Mobile,Firefox,2,16,2.46,0,1,0,0.192,1,bot_attack,1
4.06,3.92,0,308.35,1052.69,0,0,Desktop,Safari,0,16,3.24,1,0,0,0.67,0,none,0
3.19,3.2,1,270.34,212.47,0,0,Desktop,Safari,0,18,2.75,0,0,0,0.269,0,none,0
6.33,5.33,3,135.03,424.42,1,0,Desktop,Firefox,3,15,0.49,0,0,0,0.641,1,bot_attack,1
6.19,2.33,1,132.55,365.59,0,0,Mobile,Chrome,1,8,4.63,0,1,0,0.21,1,bot_attack,1
1.8,2.03,3,255.69,841.87,0,0,Mobile,Safari,0,3,2.56,1,0,0,0.416,0,none,0
4.31,2.73,2,259.77,495.16,0,0,Desktop,Chrome,0,2,4.01,0,0,0,0.413,0,none,0
2.96,4.2,3,294.0,646.1,1,0,Desktop,Firefox,2,20,4.28,0,1,0,0.711,0,none,0
6.37,3.09,3,157.53,1047.57,0,0,Mobile,Firefox,2,7,3.96,0,0,0,0.791,0,none,0
